business_name,cluster,primary_market,coverage_signal,email,phone,website,credential_signal,source_url,contact_source,outreach_status,notes
Monaco Lock Company Inc.,hudson-nj,Jersey City NJ,"New Jersey service area",info@monacolock.com,201-659-7626,https://www.monacolocknj.com/,"NJ Lic #34LX00006500; site states licensed bonded insured",https://www.monacolocknj.com/contact,"public business website",HOLD,"Strong local Jersey City candidate; credential should be verified against current NJ registry before activation."
Jersey City Lock & Locksmith,hudson-nj,Jersey City NJ,"Jersey City ZIP coverage",info@jerseycitylockandlocksmith.com,201-374-9440,https://jerseycitylockandlocksmith.com/,"site states local locksmith services; credential verification pending",https://jerseycitylockandlocksmith.com/,"public business website",HOLD,"Candidate for Jersey City cluster; verify NJ license independently before invitation/activation."
Jersey City Locksmith,hudson-nj,Jersey City NJ,"Jersey City Hoboken Newark Bayonne North Bergen and nearby",info@jerseycity-locksmith.com,551-391-8455,https://www.jerseycity-locksmith.com/,"site states licensed bonded insured; credential verification pending",https://www.jerseycity-locksmith.com/,"public business website",HOLD,"Potential multi-market Hudson/Newark coverage."
American Best Locksmith Inc.,philly-south-jersey-delaware,Philadelphia PA,"Philadelphia South Jersey Wilmington DE",service@americanbestlocksmith.com,877-340-3344,https://americanbestlocksmith.com/,"PA #538910; NJ #34LS00075200; DE #2013607624 stated on site",https://americanbestlocksmith.com/contact/,"public business website",HOLD,"High-leverage multi-state prospect; public site explicitly supports B2B/property-manager proposals."
Chosen Locksmith,philadelphia,Philadelphia PA,"Philadelphia and surrounding areas",chosenlocksmith@gmail.com,215-821-6095,https://www.chosenlocksmith.com/,"site states licensed technicians; independent credential verification pending",https://www.chosenlocksmith.com/contact-us/,"public business website",HOLD,"Philadelphia candidate; verify applicable business/trade credentials before activation."
Central Philadelphia Locksmith,philadelphia,Philadelphia PA,"Philadelphia storefront/mobile service",CentralPhiladelphiaLocksmith@gmail.com,267-969-3769,https://centralphiladelphialocksmith.com/,"credential verification pending",https://centralphiladelphialocksmith.com/contact,"public business website",HOLD,"Good Center/West Philadelphia candidate; credential review required."
Fisher Locksmith Philadelphia,philadelphia,Philadelphia PA,"North Northeast Center City South Philadelphia and neighborhoods",fisherlocksmith@gmail.com,267-587-7778,https://fisherlocksmithphiladelphia.com/,"site states insured; established 1993",https://fisherlocksmithphiladelphia.com/,"public business website",HOLD,"Strong neighborhood coverage signal and long operating history; credential review still required."
Mitchell's Lock & Safe Co.,philadelphia,Philadelphia PA,"Philadelphia residential commercial lock and safe",mitchell965@comcast.net,215-925-3172,https://mitchellslock.com/,"credential verification pending",https://mitchellslock.com/,"public business website",HOLD,"Established storefront/service candidate; verify current credentials before activation."
AA Locksmith,sw-connecticut,Stamford CT,"Stamford and surrounding cities",aastamfordlocksmith@gmail.com,203-564-9436,https://aalocksmithstamford.com/,"site states certified locksmiths; CT registration verification required",https://aalocksmithstamford.com/,"public business website",HOLD,"Candidate for Stamford/Fairfield cluster; CT individual locksmith registration must be verified."
All United Locksmith,connecticut,Stamford CT,"Stamford Milford New Haven Norwalk Waterbury and many CT communities",allunitedlocks@gmail.com,203-901-0011,https://allunitedlocksmithct.com/,"CT LIC LCK.0000120 stated on site",https://allunitedlocksmithct.com/services/,"public business website",HOLD,"High-leverage CT prospect with broad coverage; verify current CT DCP registration/license status."
Dr. Locks,sw-connecticut,Stamford CT,"Stamford and Fairfield County",drlocks0@gmail.com,203-921-5324,https://www.drlocksct.com/,"credential verification pending",https://www.drlocksct.com/,"public business website",HOLD,"Candidate for Stamford/Greenwich/Norwalk/Fairfield coverage; verify CT registration."
AA All American Locksmiths,connecticut-westchester,Connecticut,"Fairfield New Haven Middlesex Hartford Greater Waterbury Litchfield and Westchester NY",info@allamericanlocksmiths.net,866-792-5625,https://www.allamericanlocksmiths.net/,"credential verification pending",https://www.allamericanlocksmiths.net/contact/,"public business website",HOLD,"Potential high-coverage CT plus Westchester provider; verify each relevant credential before activation."
Happy Locks Locksmith,delaware-beaches,Lewes DE,"Rehoboth Lewes Bethany Millsboro Georgetown and Delaware beaches",happylocks@gmail.com,302-945-5482,https://www.happylocksde.com/,"site states licensed & insured",https://www.happylocksde.com/,"public business website",HOLD,"Strong second-home/coastal Delaware fit; verify current Delaware business/credential requirements."
First State Locksmith,north-delaware,Wilmington DE,"All New Castle County including Wilmington Newark Middletown",firststatelocksmith@gmail.com,302-444-2345,https://firststatelocksmith.com/,"site states locally owned and operated; credential verification pending",https://firststatelocksmith.com/contact/,"public business website",HOLD,"High-coverage northern Delaware candidate."
Bravo Lock & Safe Co.,north-delaware,Wilmington DE,"Mobile service Wilmington/New Castle area",bravolock1@outlook.com,302-998-5397,https://bravolockandsafe.com/,"credential verification pending",https://bravolockandsafe.com/contact-us/,"public business website",HOLD,"Commercial/residential candidate; verify Delaware business credential requirements."
Local Locksmith Delaware,north-delaware,Wilmington DE,"Wilmington and Delaware service",info@Locallocksmithdelaware.com,302-566-5859,https://locallocksmithdelaware.com/,"credential verification pending",https://locallocksmithdelaware.com/,"public business website",HOLD,"Additional Wilmington candidate; independently verify business identity and credentials before outreach activation."
